Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,
308,Prairie View A&M,SWAC,1-2,-11.59,91.7,103.3,70,,,,,
344,Presbyterian,BSth,1-1,-19.01,90.6,109.6,71.7,,,,,
140,Princeton,Ivy,0-0,1.9,102.4,100.5,69.3,,,,,
61,Providence,BE,4-2,12.87,108,95.1,68.5,,,,,
30,Purdue,B10,5-2,18.34,109.1,90.7,69.3,,,,,
213,Purdue Fort Wayne,Horz,1-0,-4.66,95.7,100.4,71.5,,,,,
272,Quinnipiac,MAAC,2-2,-8.87,93.9,102.8,70.6,,,,,
303,Radford,BSth,3-4,-11.03,93.4,104.4,66.1,,,,,
73,Rhode Island,A10,3-4,10.99,105.3,94.3,72.1,,,,,
248,Rice,CUSA,5-1,-7.17,95.6,102.7,71.5,,,,,
52,Richmond,A10,5-1,15.25,108.8,93.6,72.9,,,,,
264,Rider,MAAC,1-3,-8.39,97,105.4,71.3,,,,,
229,Robert Morris,Horz,1-0,-5.91,95.1,101.1,69.8,,,,,
19,Rutgers,B10,5-0,20.36,108.1,87.8,71.1,,,,,
209,Sacramento St.,BSky,3-0,-4.34,96.3,100.6,67.5,,,,,
333,Sacred Heart,NEC,0-2,-14.82,93.1,108,71.8,,,,,
160,Saint Joseph's,A10,0-2,-0.41,102.6,103,74.8,,,,,
32,Saint Louis,A10,5-0,17.94,109.2,91.2,68.8,,,,,
64,Saint Mary's,WCC,7-1,12.44,107.4,94.9,65.2,,,,,
164,Saint Peter's,MAAC,4-2,-0.58,96.1,96.6,69.1,,,,,
302,Sam Houston St.,Slnd,3-5,-11.02,94.9,105.9,73.7,,,,,
274,Samford,SC,2-3,-9.05,97.2,106.3,75.7,,,,,
163,San Diego,WCC,1-2,-0.57,97.7,98.3,72.2,,,,,
28,San Diego St.,MWC,5-0,18.54,108.1,89.5,67.8,,,,,
70,San Francisco,WCC,5-3,11.41,106.8,95.4,71.4,,,,,
285,San Jose St.,MWC,1-2,-9.78,95.8,105.6,75.2,,,,,
116,Santa Clara,WCC,6-0,5.13,98.5,93.3,70.6,,,,,
293,Seattle,WAC,4-4,-10.5,93.4,103.9,70.2,,,,,
53,Seton Hall,BE,4-3,15.23,109,93.8,70.1,,,,,
139,Siena,MAAC,0-0,2.11,101.1,99,69.9,,,,,
331,SIU Edwardsville,OVC,2-4,-14.45,91.2,105.7,71.3,,,,,
47,SMU,Amer,5-0,16.05,109.1,93.1,71,,,,,
212,South Alabama,SB,6-2,-4.55,101.5,106,68.7,,,,,
69,South Carolina,SEC,1-2,12.08,105,93,73.4,,,,,
355,South Carolina St.,MEAC,0-8,-27.48,84.4,111.9,73.4,,,,,
208,South Dakota,Sum,1-5,-4.25,100.2,104.4,70.4,,,,,
92,South Dakota St.,Sum,5-3,7.9,108.4,100.4,72.5,,,,,
97,South Florida,Amer,5-2,7.2,100.9,93.7,69.6,,,,,
328,Southeast Missouri St.,OVC,2-3,-14.2,94,108.2,70.2,,,,,
330,Southeastern Louisiana,Slnd,1-6,-14.41,91.7,106.1,71.4,,,,,
290,Southern,SWAC,0-4,-10.16,93.7,103.8,71.5,,,,,
179,Southern Illinois,MVC,3-0,-1.79,98.2,100,69.4,,,,,
306,Southern Miss,CUSA,2-3,-11.15,92.4,103.6,68.5,,,,,
178,Southern Utah,BSky,4-1,-1.76,100.1,101.9,71.1,,,,,
72,St. Bonaventure,A10,1-0,11.04,107.1,96.1,70.8,,,,,
317,St. Francis NY,NEC,2-2,-12.66,94.2,106.8,74.2,,,,,
258,St. Francis PA,NEC,1-4,-8.12,98.5,106.6,70.8,,,,,
86,St. John's,BE,5-3,8.81,105.8,97,75.4,,,,,
35,Stanford,P12,3-2,17.64,105.5,87.9,71.5,,,,,
172,Stephen F. Austin,Slnd,3-2,-1.22,97,98.3,73.5,,,,,
241,Stetson,ASun,1-4,-6.66,98,104.7,69.2,,,,,
269,Stony Brook,AE,2-4,-8.78,92.5,101.3,71.8,,,,,
29,Syracuse,ACC,5-1,18.37,108,89.7,72.6,,,,,
335,Tarleton St.,WAC,2-2,-15.2,91.7,106.9,71,,,,,
59,TCU,B12,6-2,13.45,105.7,92.2,67.3,,,,,
147,Temple,Amer,0-0,1.29,98.5,97.2,72.4,,,,,
11,Tennessee,SEC,3-0,22.04,108.4,86.4,67.7,,,,,
337,Tennessee Martin,OVC,2-0,-15.26,96.2,111.4,71.6,,,,,
292,Tennessee St.,OVC,0-2,-10.32,91.9,102.2,73.1,,,,,
327,Tennessee Tech,OVC,0-7,-13.97,89.4,103.4,70.2,,,,,
7,Texas,B12,6-1,23.18,109.6,86.4,69.6,,,,,
79,Texas A&M,SEC,4-1,9.88,102.4,92.6,69.1,,,,,
309,Texas A&M Corpus Chris,Slnd,1-6,-11.88,92.1,104,69.3,,,,,
223,Texas Southern,SWAC,2-4,-5.52,97.8,103.3,71,,,,,
154,Texas St.,SB,4-3,0.16,97.9,97.8,67.4,,,,,
8,Texas Tech,B12,6-1,22.84,108,85.1,68,,,,,
326,The Citadel,SC,5-0,-13.8,95.5,109.3,76.2,,,,,
98,Toledo,MAC,5-3,7.19,106.5,99.4,68.8,,,,,
219,Towson,CAA,0-3,-5.25,99.6,104.8,67.7,,,,,
287,Troy,SB,4-3,-9.88,92.4,102.3,69.1,,,,,
207,Tulane,Amer,4-1,-3.92,94.3,98.2,69.5,,,,,
99,Tulsa,Amer,1-3,7.14,101.1,94,68.8,,,,,
88,UAB,CUSA,7-0,8.62,103.1,94.5,73.2,,,,,
191,UC Davis,BW,2-2,-3.03,98.3,101.3,72.9,,,,,
157,UC Irvine,BW,2-3,0.03,98.6,98.5,70.8,,,,,
152,UC Riverside,BW,3-1,0.35,96.8,96.4,67.7,,,,,
190,UC San Diego,BW,0-0,-2.82,98.5,101.3,71.2,,,,,
128,UC Santa Barbara,BW,3-1,3.8,102,98.2,68.2,,,,,
113,UCF,Amer,1-1,5.51,99.7,94.2,69.9,,,,,
26,UCLA,P12,5-1,19.14,111,91.8,67.2,,,,,
221,UMass Lowell,AE,1-3,-5.43,98.6,104.1,71.6,,,,,
183,UMBC,AE,4-1,-1.96,98.1,100,71.1,,,,,
282,UMKC,Sum,2-4,-9.73,94.5,104.3,66.7,,,,,
215,UNC Asheville,BSth,3-3,-4.83,98.9,103.8,70.6,,,,,
117,UNC Greensboro,SC,3-3,5.07,100.6,95.6,72,,,,,
224,UNC Wilmington,CAA,3-3,-5.67,97.9,103.6,71,,,,,
137,UNLV,MWC,1-4,2.4,103,100.6,70.7,,,,,
41,USC,P12,4-1,17.15,108.3,91.1,69.4,,,,,
310,USC Upstate,BSth,0-7,-12.03,95.9,107.9,73.1,,,,,
159,UT Arlington,SB,2-4,-0.37,99.6,100,71.2,,,,,
220,UT Rio Grande Valley,WAC,5-2,-5.33,94.8,100.1,72.7,,,,,
63,Utah,P12,3-1,12.55,107.2,94.7,69.3,,,,,
85,Utah St.,MWC,2-3,8.81,103.4,94.6,71.1,,,,,
286,Utah Valley,WAC,2-4,-9.87,95,104.9,73,,,,,
155,UTEP,CUSA,3-2,0.08,97.1,97,69.9,,,,,
185,UTSA,CUSA,2-3,-2.03,101.8,103.9,73.1,,,,,
158,Valparaiso,MVC,2-4,-0.27,98.3,98.6,71.4,,,,,
129,Vanderbilt,SEC,2-1,3.71,101.1,97.4,70.2,,,,,
54,VCU,A10,6-2,15.09,104.1,89.1,71.1,,,,,
90,Vermont,AE,0-0,8.41,103.7,95.3,69.2,,,,,
3,Villanova,BE,6-1,25.87,116.5,90.6,65.8,,,,,
18,Virginia,ACC,3-1,20.59,107,86.4,62,,,,,
43,Virginia Tech,ACC,5-1,16.84,108.4,91.6,67,,,,,
244,VMI,SC,5-2,-6.91,97.4,104.3,72.2,,,,,
297,Wagner,NEC,0-2,-10.6,93.6,104.2,67.8,,,,,
126,Wake Forest,ACC,2-0,4.23,102.6,98.4,70.6,,,,,
93,Washington,P12,1-4,7.81,100.3,92.5,70.6,,,,,
149,Washington St.,P12,5-0,0.94,95.9,94.9,70.3,,,,,
284,Weber St.,BSky,2-1,-9.77,93.4,103.2,70.4,,,,,
5,West Virginia,B12,6-1,23.59,111.1,87.5,70.9,,,,,
200,Western Carolina,SC,6-2,-3.55,100.9,104.5,74,,,,,
343,Western Illinois,Sum,1-4,-18.3,91.3,109.6,72.8,,,,,
80,Western Kentucky,CUSA,5-2,9.55,107.7,98.2,70.1,,,,,
260,Western Michigan,MAC,1-4,-8.28,93.9,102.1,68,,,,,
96,Wichita St.,Amer,2-2,7.4,103.6,96.3,69.1,,,,,
255,William & Mary,CAA,2-1,-7.76,99.8,107.5,69,,,,,
111,Winthrop,BSth,4-0,5.79,105.3,99.5,74.4,,,,,
6,Wisconsin,B10,5-1,23.52,110.8,87.2,67.5,,,,,
131,Wofford,SC,3-2,3.21,103,99.8,68.7,,,,,
104,Wright St.,Horz,2-1,6.51,101.4,94.9,72.4,,,,,
168,Wyoming,MWC,5-1,-1.08,101.4,102.5,70.4,,,,,
49,Xavier,BE,7-0,15.95,109.8,93.8,69.5,,,,,
101,Yale,Ivy,0-0,6.86,105.5,98.7,70.6,,,,,
177,Youngstown St.,Horz,3-0,-1.75,101.5,103.3,69.6,,,,,
