Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,,,,,,,
93,St. John's,BE,6-4,8.43,107.5,99.1,75,,,,,,,
37,Stanford,P12,5-2,17.35,106.1,88.7,71.2,,,,,,,
172,Stephen F. Austin,Slnd,3-2,-1.28,97.8,99.1,72.9,,,,,,,
243,Stetson,ASun,2-4,-6.77,98.6,105.4,68.7,,,,,,,
255,Stony Brook,AE,4-4,-7.65,93.8,101.4,70.5,,,,,,,
30,Syracuse,ACC,6-1,18.22,109.3,91.1,72.9,,,,,,,
335,Tarleton St.,WAC,2-2,-15.14,92.3,107.5,70.8,,,,,,,
62,TCU,B12,7-2,13.07,107.2,94.1,68.6,,,,,,,
151,Temple,Amer,1-1,1.21,98.6,97.4,71.7,,,,,,,
7,Tennessee,SEC,5-0,23.32,109.9,86.6,68.4,,,,,,,
340,Tennessee Martin,OVC,3-2,-17.31,95.4,112.7,70.3,,,,,,,
301,Tennessee St.,OVC,1-4,-11.1,91.9,103,72.5,,,,,,,
330,Tennessee Tech,OVC,0-9,-14.58,90.1,104.7,70.9,,,,,,,
8,Texas,B12,7-1,23.01,110.7,87.7,69.2,,,,,,,
74,Texas A&M,SEC,5-1,10.73,103.6,92.8,67.8,,,,,,,
307,Texas A&M Corpus Chris,Slnd,3-6,-12.11,92.8,104.9,68.9,,,,,,,
224,Texas Southern,SWAC,2-5,-5.34,98.8,104.2,71,,,,,,,
168,Texas St.,SB,6-3,-0.99,98.4,99.3,66.8,,,,,,,
10,Texas Tech,B12,7-2,22.55,107.7,85.2,67.1,,,,,,,
315,The Citadel,SC,7-0,-12.97,98.4,111.3,76.2,,,,,,,
90,Toledo,MAC,7-3,8.63,107.3,98.7,68.4,,,,,,,
221,Towson,CAA,0-3,-5.19,100.2,105.4,67.3,,,,,,,
291,Troy,SB,4-4,-10.74,92.2,102.9,68.6,,,,,,,
203,Tulane,Amer,5-2,-3.74,96,99.8,67.9,,,,,,,
88,Tulsa,Amer,3-3,8.97,101.3,92.3,67.7,,,,,,,
98,UAB,CUSA,7-1,7.59,103.1,95.5,72.3,,,,,,,
194,UC Davis,BW,2-2,-3.12,99,102.1,72.4,,,,,,,
140,UC Irvine,BW,3-4,2.17,98.9,96.7,69.9,,,,,,,
159,UC Riverside,BW,3-1,0.16,97.2,97.1,67.6,,,,,,,
189,UC San Diego,BW,1-0,-2.82,99.1,101.9,70.8,,,,,,,
115,UC Santa Barbara,BW,4-1,5.42,103.4,97.9,68.4,,,,,,,
94,UCF,Amer,3-1,8.32,103.3,95,69.9,,,,,,,
29,UCLA,P12,5-2,18.41,112.5,94.1,66.3,,,,,,,
207,UMass Lowell,AE,2-4,-4.25,98.6,102.9,70.9,,,,,,,
183,UMBC,AE,6-1,-1.96,97.7,99.7,70.9,,,,,,,
278,UMKC,Sum,4-4,-9.58,95.2,104.8,66.2,,,,,,,
215,UNC Asheville,BSth,3-4,-4.9,99.7,104.6,70.1,,,,,,,
113,UNC Greensboro,SC,5-3,5.66,101.5,95.8,71.9,,,,,,,
192,UNC Wilmington,CAA,5-3,-3.08,100.7,103.8,70.6,,,,,,,
137,UNLV,MWC,1-4,2.42,103.7,101.2,70.3,,,,,,,
35,USC,P12,4-1,17.56,109.2,91.7,69.1,,,,,,,
303,USC Upstate,BSth,0-7,-11.8,96.7,108.5,72,,,,,,,
162,UT Arlington,SB,4-4,-0.31,100.3,100.7,70.7,,,,,,,
232,UT Rio Grande Valley,WAC,5-3,-5.89,94.3,100.2,72.7,,,,,,,
63,Utah,P12,4-1,13.01,107.7,94.6,69.1,,,,,,,
82,Utah St.,MWC,4-3,9.8,104.3,94.5,69.6,,,,,,,
280,Utah Valley,WAC,2-4,-9.75,95.7,105.4,72.3,,,,,,,
161,UTEP,CUSA,4-2,-0.01,97.7,97.7,69.5,,,,,,,
174,UTSA,CUSA,4-3,-1.32,102.9,104.3,73.2,,,,,,,
167,Valparaiso,MVC,3-5,-0.95,98.4,99.3,70.7,,,,,,,
139,Vanderbilt,SEC,3-2,2.28,100.7,98.4,70.3,,,,,,,
57,VCU,A10,7-2,13.69,104.1,90.4,72.1,,,,,,,
100,Vermont,AE,1-1,7.17,102.3,95.1,69.3,,,,,,,
4,Villanova,BE,7-1,25.69,117.3,91.6,65,,,,,,,
15,Virginia,ACC,4-1,21.48,108.3,86.8,61.2,,,,,,,
38,Virginia Tech,ACC,7-1,17.32,109.9,92.6,66.7,,,,,,,
240,VMI,SC,5-4,-6.57,99.1,105.6,71.1,,,,,,,
270,Wagner,NEC,1-4,-9.02,95.1,104.1,66.3,,,,,,,
124,Wake Forest,ACC,2-0,4.17,103.1,99,70,,,,,,,
116,Washington,P12,1-6,5.27,100.1,94.8,70.3,,,,,,,
132,Washington St.,P12,7-0,3.36,98.2,94.8,69.9,,,,,,,
253,Weber St.,BSky,3-2,-7.59,94.7,102.3,71.9,,,,,,,
14,West Virginia,B12,7-2,21.59,111.6,90,68.8,,,,,,,
191,Western Carolina,SC,7-2,-2.93,101.6,104.5,72.9,,,,,,,
338,Western Illinois,Sum,2-4,-16.27,92.7,109,72.5,,,,,,,
81,Western Kentucky,CUSA,7-2,9.92,108.5,98.6,70.5,,,,,,,
251,Western Michigan,MAC,2-5,-7.52,95.5,103,66.7,,,,,,,
96,Wichita St.,Amer,4-2,8.06,104.8,96.8,69.2,,,,,,,
295,William & Mary,CAA,2-3,-10.83,98,108.8,67.8,,,,,,,
99,Winthrop,BSth,5-0,7.31,105.9,98.6,75.5,,,,,,,
